title	first_author_last	year	nbs_link	publisher_link	status	saved_filename	attempted_sources	failure_reason	checked_on	doi
When and how simplified nutrition labels improve fast-food choices	Chandon	2026			downloaded	Chandon 2026 When and how simplified nutrition labels improve fast-food choices.pdf				10.1007/s11747-025-01126-0
The Aesthetics of Impact Making Impact Beautiful, Not Just Useful	Chen	2026			downloaded	Chen 2026 The Aesthetics of Impact Making Impact Beautiful, Not Just Useful.pdf				10.1177/00076503251413065
Fixed capital and growth imperatives Is commercial aviation trapped in a treadmill	Chevalier	2025			downloaded	Chevalier 2025 Fixed capital and growth imperatives Is commercial aviation trapped in a treadmill.pdf				10.2139/ssrn.5265164
“Local Heroes” Construction firms pioneering circular innovation	Chioatto	2025			downloaded	Chioatto 2025 “Local Heroes” Construction firms pioneering circular innovation.pdf				10.1016/j.ecolecon.2025.108862
Human Capital Disclosure and Labor Market Outcomes Evidence from Regulation S-K	Choi	2026			downloaded	Choi 2026 Human Capital Disclosure and Labor Market Outcomes Evidence from Regulation S-K.pdf				10.1111/1475-679x.70036
Board gender diversity, innovation ambidexterity, and firm performance	Deore	2025			downloaded	Deore 2025 Board gender diversity, innovation ambidexterity, and firm performance.pdf				10.1016/j.aos.2025.101613
Accounting and post-colonial resistance Affective ambivalence in the international development assemblage	Duenas	2025			downloaded	Duenas 2025 Accounting and post-colonial resistance Affective ambivalence in the international development assemblage.pdf				10.1016/j.aos.2025.101607
The Unintended Carbon Impacts of Large-Scale Electricity Storage	Dupont	2025			downloaded	Dupont 2025 The Unintended Carbon Impacts of Large-Scale Electricity Storage.pdf				10.1287/msom.2024.1411
Political Segregation in the Labor Market and the Persistence of Pay Gaps	Fang	2026			downloaded	Fang 2026 Political Segregation in the Labor Market and the Persistence of Pay Gaps.pdf				10.5465/amj.2023.0371
Linking Multisite Sex Ad Data at the Individual Level to Aid Counter-Trafficking Efforts	Freeman	2025			downloaded	Freeman 2025 Linking Multisite Sex Ad Data at the Individual Level to Aid Counter-Trafficking Efforts.pdf				10.1287/msom.2024.0816
Recent global value chain reconfiguration drivers and consequences on EU carbon footprint	García-Alaminos	2025			downloaded	García-Alaminos 2025 Recent global value chain reconfiguration drivers and consequences on EU carbon footprint.pdf				10.1016/j.ecolecon.2025.108828
Evaluating Organizations in an Age of Absurdity How Fake News Disrupts the Relationship Between Business and Society	Gardberg	2026			downloaded	Gardberg 2026 Evaluating Organizations in an Age of Absurdity How Fake News Disrupts the Relationship Between Business and Society.pdf				10.1177/00076503251412639
Firm-level nature dependence	Garel	2026			downloaded	Garel 2026 Firm-level nature dependence.pdf				10.2139/ssrn.5196826
Biodiversity risk	Giglio	2026			downloaded	Giglio 2026 Biodiversity risk.pdf				
Corporate nature risk perceptions	Gjerde	2026			downloaded	Gjerde 2026 Corporate nature risk perceptions.pdf				10.2139/ssrn.5224376
Towards a Justice-Oriented Human Rights Due Diligence Approach for Migrant Labor	Goethals	2025			downloaded	Goethals 2025 Towards a Justice-Oriented Human Rights Due Diligence Approach for Migrant Labor.pdf				10.1177/00076503251392161
The pricing of biodiversity risk in commodity markets	Guidolin	2026			downloaded	Guidolin 2026 The pricing of biodiversity risk in commodity markets.pdf				10.2139/ssrn.5208232
Introduction to the special issue ‘Biodiversity and finance Risk, disclosure and double materiality.’	Guo	2025			downloaded	Guo 2025 Introduction to the special issue ‘Biodiversity and finance Risk, disclosure and double materiality.’.pdf				10.1016/j.ecolecon.2025.108798
Do sustainability reports contain financially material information	Haley	2026			downloaded	Haley 2026 Do sustainability reports contain financially material information.pdf				10.1007/s11142-025-09912-5
How negative accounting news events, voluntary ESG assurance, and assurance provider influence consumer purchasing intentions	Hampton	2025			downloaded	Hampton 2025 How negative accounting news events, voluntary ESG assurance, and assurance provider influence consumer purchasing intentions.pdf				10.1016/j.aos.2025.101599
Reimagining growth futures Overcoming the false binary between green growth and degrowth	Hasselbalch	2025			downloaded	Hasselbalch 2025 Reimagining growth futures Overcoming the false binary between green growth and degrowth.pdf				10.2139/ssrn.5096015
Can objective information update subjective beliefs on sustainable farming Evidence from a randomized experiment with Japanese rice farmers	Inoue	2025			downloaded	Inoue 2025 Can objective information update subjective beliefs on sustainable farming Evidence from a randomized experiment with Japanese rice farmers.pdf				10.1016/j.ecolecon.2025.108837
Bottom-up effects of female strategic leadership Firm performance effects through employees	Jeong	2026			downloaded	Jeong 2026 Bottom-up effects of female strategic leadership Firm performance effects through employees.pdf				10.1002/smj.70038
Alienable or inalienable, and how Individual property rights in commons governance	Jia	2025			downloaded	Jia 2025 Alienable or inalienable, and how Individual property rights in commons governance.pdf				10.1016/j.ecolecon.2025.108903
Does an exclusive relationship with government banks matter during a climate shock	Kamal	2025			downloaded	Kamal 2025 Does an exclusive relationship with government banks matter during a climate shock.pdf				10.1093/rof/rfaf073
From wells to windmills Resource redeployment and new technology investment in the energy sector	Kapacinskaite	2026			downloaded	Kapacinskaite 2026 From wells to windmills Resource redeployment and new technology investment in the energy sector.pdf				10.1002/smj.70028
Waste delinking A pathway to degrowth	Karimzadeh	2025			downloaded	Karimzadeh 2025 Waste delinking A pathway to degrowth.pdf				10.1016/j.ecolecon.2025.108869
Changes in the Salience of Collective Reputations Information Disclosure and Shareholder Reactions	Kim	2025			downloaded	Kim 2025 Changes in the Salience of Collective Reputations Information Disclosure and Shareholder Reactions.pdf				10.1177/00076503251383838
When Good Intentions Backfire The Asymmetric Effects of Minority-Ownership Markers for Businesses on Online Platforms	Kim	2025			downloaded	Kim 2025 When Good Intentions Backfire The Asymmetric Effects of Minority-Ownership Markers for Businesses on Online Platforms.pdf				10.1080/07421222.2025.2561388
Leveraging Large Language Models for Hate Speech Detection Multi-Agent, Information-Theoretic Prompt Learning for Enhancing Contextual Understanding	Lee	2025			downloaded	Lee 2025 Leveraging Large Language Models for Hate Speech Detection Multi-Agent, Information-Theoretic Prompt Learning for Enhancing Contextual Understanding.pdf				10.1080/07421222.2025.2561383
The Hidden Impact of Prosumers and Its Fair Mitigation	Lee	2026			downloaded	Lee 2026 The Hidden Impact of Prosumers and Its Fair Mitigation.pdf				10.1177/10591478251394133
Firm-level green innovation beyond patents	Leippold	2026			downloaded	Leippold 2026 Firm-level green innovation beyond patents.pdf				
An optimized shared responsibility accounting framework unveiling the big black shadows behind small emitters in global value chains	Li	2025			downloaded	Li 2025 An optimized shared responsibility accounting framework unveiling the big black shadows behind small emitters in global value chains.pdf				10.1016/j.ecolecon.2025.108802
Corporate biodiversity risk exposure in China A system-based perspective from natural capital theory using machine and deep learning algorithms	Li	2025			downloaded	Li 2025 Corporate biodiversity risk exposure in China A system-based perspective from natural capital theory using machine and deep learning algorithms.pdf				10.1016/j.ecolecon.2025.108906
Redesigning Harvesting Processes and Improving Working Conditions in Agribusiness	Li	2025			downloaded	Li 2025 Redesigning Harvesting Processes and Improving Working Conditions in Agribusiness.pdf				10.1177/10591478251395431
The Ripple Effect of Reputation Spillover How Corruption Fugitives Shape Consumer Perceptions of Fugitives’ Host Countries and Their MNEs	Li	2025			downloaded	Li 2025 The Ripple Effect of Reputation Spillover How Corruption Fugitives Shape Consumer Perceptions of Fugitives’ Host Countries and Their MNEs.pdf				10.1177/00076503251393953
The impact of green credit guidelines on green lending and environmental outcomes Evidence from Chinese banks	Li	2025			downloaded	Li 2025 The impact of green credit guidelines on green lending and environmental outcomes Evidence from Chinese banks.pdf				10.1016/j.ecolecon.2025.108900
Financial value of nature coastal housing markets, mangroves, and climate resilience	Liu	2026			downloaded	Liu 2026 Financial value of nature coastal housing markets, mangroves, and climate resilience.pdf				10.2139/ssrn.5568720
From Paralysis to Publicization How Victims of the UK Post Office Horizon IT Scandal Experienced and Confronted Organizational Harm	Lodge	2025			downloaded	Lodge 2025 From Paralysis to Publicization How Victims of the UK Post Office Horizon IT Scandal Experienced and Confronted Organizational Harm.pdf				10.5465/amj.2024.1166
Who should pay for ESG ratings	Lovo	2026			downloaded	Lovo 2026 Who should pay for ESG ratings.pdf				10.2139/ssrn.5106010
The Persuasive Power of Signals How Narratives, Fundraising Model, and Number of Borrowers Drive Success in Lending-Based Prosocial Crowdfunding	Maiolini	2025			downloaded	Maiolini 2025 The Persuasive Power of Signals How Narratives, Fundraising Model, and Number of Borrowers Drive Success in Lending-Based Prosocial Crowdfunding.pdf				10.1177/00076503251390311
The Role of Information, Rewards, and Convenience in Take-Back Programs for Clothing	McKie	2025			downloaded	McKie 2025 The Role of Information, Rewards, and Convenience in Take-Back Programs for Clothing.pdf				10.1287/msom.2023.0561
Climate extreme events and climate change are enforced by extortionate freeriders overloading those who mitigate – An economic experiment	Milinski	2025			downloaded	Milinski 2025 Climate extreme events and climate change are enforced by extortionate freeriders overloading those who mitigate – An economic experiment.pdf				10.1016/j.ecolecon.2025.108866
Stakeholder Political Ideology, Purpose of Business Beliefs, and Responses to CEO Activism Introducing an Asymmetry Model	Nair	2025			downloaded	Nair 2025 Stakeholder Political Ideology, Purpose of Business Beliefs, and Responses to CEO Activism Introducing an Asymmetry Model.pdf				10.5465/amj.2023.0510
Engaged and Responsible Scholarship Why Qualitative Researchers Should Not Embrace GenAI	Nguyen	2025			downloaded	Nguyen 2025 Engaged and Responsible Scholarship Why Qualitative Researchers Should Not Embrace GenAI.pdf				10.1177/00076503251386539
Impact, Interrupted How and When Thwarted Prosocial Impact Undermines Employee Performance and Retention	Nielsen	2025			downloaded	Nielsen 2025 Impact, Interrupted How and When Thwarted Prosocial Impact Undermines Employee Performance and Retention.pdf				10.5465/amj.2024.0445
When the Time Never Comes Temporal Mobilization and Temporal Tensions in a Nascent Solar Energy Field	Nissilä	2026			downloaded	Nissilä 2026 When the Time Never Comes Temporal Mobilization and Temporal Tensions in a Nascent Solar Energy Field.pdf				10.1177/00076503251403401
Forced Labor in Labor Supply Chains Contracting and Information Asymmetry	Papier	2025			downloaded	Papier 2025 Forced Labor in Labor Supply Chains Contracting and Information Asymmetry.pdf				10.1287/msom.2023.0438
Who’s Afraid of the Minimum Wage Measuring the Impacts on Independent Businesses Using Matched U.S. Tax Returns	Rao	2026			downloaded	Rao 2026 Who’s Afraid of the Minimum Wage Measuring the Impacts on Independent Businesses Using Matched U.S. Tax Returns.pdf				10.1093/qje/qjaf053
Local development based on non-timber forest products Revisiting the case of São Francisco do Iratapuru in the Brazilian Amazon	Rosenfeld	2025			downloaded	Rosenfeld 2025 Local development based on non-timber forest products Revisiting the case of São Francisco do Iratapuru in the Brazilian Amazon.pdf				10.1016/j.ecolecon.2025.108894
No News About Climate Action is Good News for Low-Polluting Firms	Safaei	2026			downloaded	Safaei 2026 No News About Climate Action is Good News for Low-Polluting Firms.pdf				10.1177/10591478251387803
Socio-ecological inequalities in housing consumption How income, urban form, and tenure drive carbon footprints	Savini	2025			downloaded	Savini 2025 Socio-ecological inequalities in housing consumption How income, urban form, and tenure drive carbon footprints.pdf				10.2139/ssrn.5346861
Climate change mitigation and green energy investment A stock-flow consistent model	Serra	2025			downloaded	Serra 2025 Climate change mitigation and green energy investment A stock-flow consistent model.pdf				10.1016/j.ecolecon.2025.108863
Agent-based insight into eco-choices Simulating the fast fashion shift	Soboleva	2025			downloaded	Soboleva 2025 Agent-based insight into eco-choices Simulating the fast fashion shift.pdf				10.1016/j.ecolecon.2025.108824
Post-growth meets polycentric governance Toward an interdisciplinary research program	Soto-Oñate	2025			downloaded	Soto-Oñate 2025 Post-growth meets polycentric governance Toward an interdisciplinary research program.pdf				10.1016/j.ecolecon.2025.108891
How Employees Who Have Made Upward Social Class Transitions Get Heard in the Workplace	Spriha	2025			downloaded	Spriha 2025 How Employees Who Have Made Upward Social Class Transitions Get Heard in the Workplace.pdf				10.5465/amj.2023.0042
The information value of energy labels Evidence from the Dutch residential housing market	Stangenberg	2025			downloaded	Stangenberg 2025 The information value of energy labels Evidence from the Dutch residential housing market.pdf				10.1016/j.ecolecon.2025.108791
Decommodifying cacao matchmaking between producers and buyers of fine flavour cacao from Peru	Thomas	2025			downloaded	Thomas 2025 Decommodifying cacao matchmaking between producers and buyers of fine flavour cacao from Peru.pdf				10.2139/ssrn.5376070
“Taking Wendake Beyond Wendake” Economic Development and Legal Tenacity in the Wendat Community	Viale	2026			downloaded	Viale 2026 “Taking Wendake Beyond Wendake” Economic Development and Legal Tenacity in the Wendat Community.pdf				10.1177/00076503251376902
Resource regimes and the success of local renewable energy projects	Viallon	2025			downloaded	Viallon 2025 Resource regimes and the success of local renewable energy projects.pdf				10.1016/j.ecolecon.2025.108843
The grey shades of green jobs Unpacking the occupational approach to green employment	Villani	2025			downloaded	Villani 2025 The grey shades of green jobs Unpacking the occupational approach to green employment.pdf				10.2139/ssrn.5043372
From grand challenges to bold solutions Investor perspectives on financing urban climate change adaptation	Whittaker	2025			downloaded	Whittaker 2025 From grand challenges to bold solutions Investor perspectives on financing urban climate change adaptation.pdf				10.2139/ssrn.4935935
Biodiversity finance What has been achieved and where is it heading	Willis	2025			downloaded	Willis 2025 Biodiversity finance What has been achieved and where is it heading.pdf				10.1016/j.ecolecon.2025.108713
Activism risk and corporate self-regulation Investigating how anti-SLAPP laws impact firms institutional corporate social performance	Wu	2026			downloaded	Wu 2026 Activism risk and corporate self-regulation Investigating how anti-SLAPP laws impact firms institutional corporate social performance.pdf				10.1002/smj.70031
Do Nature-Loving CEOs Make the World Greener	ZHI	2025			downloaded	ZHI 2025 Do Nature-Loving CEOs Make the World Greener.pdf				10.1111/1475-679x.70033
Nudging grid-friendly electric vehicle charging Different shades of social framing and the power of individual factors	Zatsarnaja	2025			downloaded	Zatsarnaja 2025 Nudging grid-friendly electric vehicle charging Different shades of social framing and the power of individual factors.pdf				10.1016/j.ecolecon.2025.108805
Transparency and divestment the impact of a public database about insurers’ carbon-intensive investments on their portfolio choices	Zhang	2026			downloaded	Zhang 2026 Transparency and divestment the impact of a public database about insurers’ carbon-intensive investments on their portfolio choices.pdf				10.1007/s11142-025-09928-x
Biodiversity co-benefits in carbon markets Evidence from voluntary offset projects	Zhou	2026			downloaded	Zhou 2026 Biodiversity co-benefits in carbon markets Evidence from voluntary offset projects.pdf				10.2139/ssrn.5678422
Toxic neighbors E -waste dumps and the decline of social capital	Zhu	2025			downloaded	Zhu 2025 Toxic neighbors E -waste dumps and the decline of social capital.pdf				10.1016/j.ecolecon.2025.108897
